"Mass","formula","HC","OC"
293.1758208,"C17H26O4",1.53,0.24
293.1791941,"C14H30O4S1",2.14,0.29
293.2122273,"C18H30O3",1.67,0.17
293.248651,"C19H34O2",1.79,0.11
295.0612545,"C17H12O5",0.71,0.29
295.1186883,"C15H20O6",1.33,0.4
295.133997,"C19H20O3",1.05,0.16
295.1551101,"C16H24O5",1.5,0.31
295.1914984,"C17H28O4",1.65,0.24
295.2278242,"C18H32O3",1.78,0.17
295.264285,"C19H36O2",1.89,0.11
295.965253,"C6H7O7N3S2",1.17,1.17
297.0404133,"C16H10O6",0.62,0.38
297.040678,"C9H18O3N2S3",2,0.33
297.0471925,"C10H18O6S2",1.8,0.6
297.1343519,"C15H22O6",1.47,0.4
297.149684,"C19H22O3",1.16,0.16
297.152986,"C16H26O3S1",1.62,0.19
297.1707838,"C16H26O5",1.62,0.31
297.2071719,"C17H30O4",1.76,0.24
297.2435341,"C18H34O3",1.89,0.17
297.2799208,"C19H38O2",2,0.11
299.019696,"C15H8O7",0.53,0.47
299.0561122,"C16H12O6",0.75,0.38
299.1500239,"C15H24O6",1.6,0.4
299.1864178,"C16H28O5",1.75,0.31
299.2016645,"C20H28O2",1.4,0.1
299.222819,"C17H32O4",1.88,0.24
299.2592017,"C18H36O3",2,0.17
300.954348,"C13H3O7P1",0.23,0.54
301.0353922,"C15H10O7",0.67,0.47
301.035545,"C8H18O4N2S3",2.25,0.5
301.036262,"C16H14O2S2",0.88,0.12
301.0717848,"C16H14O6",0.88,0.38
301.1293325,"C14H22O7",1.57,0.5
301.144544,"C18H22O4",1.22,0.22
301.1657076,"C15H26O6",1.73,0.4
301.20205,"C16H30O5",1.88,0.31
301.2173338,"C20H30O2",1.5,0.1
301.2384346,"C17H34O4",2,0.24
301.971551,"C10H10O4N1S2P1",1,0.4
302.155077,"C21H21O1N1",1,0.05
303.033231,"C15H12O5S1",0.8,0.33
303.0509525,"C15H12O7",0.8,0.47
303.051108,"C15H12O7",0.8,0.47
303.072202,"C12H16O9",1.33,0.75
303.087424,"C16H16O6",1,0.38
303.1602085,"C18H24O4",1.33,0.22
303.217709,"C16H32O5",2,0.31
303.2329852,"C20H32O2",1.6,0.1
304.853439,"C8H2O3S5",0.25,0.38
305.009959,"C18H10O1S2",0.56,0.06
305.102983,"C16H18O6",1.12,0.38
305.106418,"C13H22O6S1",1.69,0.46
305.139425,"C17H22O5",1.29,0.29
