id,depth_pos,depth_m,depth_cm,Label,Def1,season,year,site,depth,core,mag.vec,duration
505,505,-0.36,36,Exclude,NA,spring,2,BARR,505,2,0.1,24
513,506,-0.56,56,Exclude,NA,spring,2,BARR,506,5,0.1,24
516,507,-0.85,85,Exclude,NA,spring,2,BARR,507,3,0.1,24
521,508,-1.35,135,Exclude,NA,spring,2,BARR,508,3,0.1,24
526,509,-1.75,175,Exclude,NA,spring,2,BARR,509,3,0.1,24
532,501,-0.02,2,Exclude,NA,spring,2,BONA,501,4,0.1,24
537,502,-0.06,6,Exclude,NA,spring,2,BONA,502,4,0.1,24
542,503,-0.16,16,Exclude,NA,spring,2,BONA,503,4,0.1,24
547,504,-0.26,26,Exclude,NA,spring,2,BONA,504,4,0.1,24
548,504,-0.27,27,Exclude,NA,spring,2,BONA,504,5,0.1,24
552,505,-0.46,46,Exclude,NA,spring,2,BONA,505,4,0.1,24
557,506,-0.76,76,Exclude,NA,spring,2,BONA,506,4,0.1,24
576,501,-0.02,2,Exclude,NA,spring,2,HEAL,501,3,0.1,24
580,502,-0.06,6,Exclude,NA,spring,2,HEAL,502,2,0.1,24
595,505,-0.36,36,Exclude,NA,spring,2,HEAL,505,2,0.1,24
602,506,-0.46,46,Exclude,NA,spring,2,HEAL,506,4,0.1,24
604,507,-0.67,67,Exclude,NA,spring,2,HEAL,507,1,0.1,24
619,501,-0.02,2,Exclude,NA,spring,2,TOOL,501,1,0.1,24
620,501,-0.02,2,Exclude,NA,spring,2,TOOL,501,2,0.1,24
621,501,-0.02,2,Exclude,NA,spring,2,TOOL,501,3,0.1,24
622,501,-0.02,2,Exclude,NA,spring,2,TOOL,501,4,0.1,24
623,501,-0.02,2,Exclude,NA,spring,2,TOOL,501,5,0.1,24
624,502,-0.06,6,Exclude,NA,spring,2,TOOL,502,1,0.1,24
625,502,-0.06,6,Exclude,NA,spring,2,TOOL,502,2,0.1,24
626,502,-0.06,6,Exclude,NA,spring,2,TOOL,502,3,0.1,24
627,502,-0.06,6,Exclude,NA,spring,2,TOOL,502,4,0.1,24
628,502,-0.06,6,Exclude,NA,spring,2,TOOL,502,5,0.1,24
629,503,-0.16,16,Exclude,NA,spring,2,TOOL,503,1,0.1,24
630,503,-0.16,16,Exclude,NA,spring,2,TOOL,503,2,0.1,24
631,503,-0.16,16,Exclude,NA,spring,2,TOOL,503,3,0.1,24
632,503,-0.16,16,Exclude,NA,spring,2,TOOL,503,4,0.1,24
633,504,-0.26,26,Exclude,NA,spring,2,TOOL,504,2,0.1,24
634,504,-0.26,26,Exclude,NA,spring,2,TOOL,504,3,0.1,24
635,504,-0.26,26,Exclude,NA,spring,2,TOOL,504,4,0.1,24
636,505,-0.36,36,Exclude,NA,spring,2,TOOL,505,2,0.1,24
