"GHG_col","ID","W","Mass","formula","presence","Site","trmt","Material","max_reps","formulareps","include"
"GHG","10","W",227.0673675,"C9H12O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",227.0925114,"C11H16O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",227.1289103,"C12H20O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",227.1652906,"C13H24O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",227.2016582,"C14H28O2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",228.0513739,"C9H11O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",228.0877602,"C10H15O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",229.0353939,"C9H10O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",229.0506476,"C13H10O4",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",229.0717838,"C10H14O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",229.0830149,"C9H14O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",229.1081561,"C11H18O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",229.1445498,"C12H22O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",230.0670339,"C9H13O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",231.0299395,"C12H8O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",231.0510449,"C9H12O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",231.0622755,"C8H12O6N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",231.0663132,"C13H12O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",231.0874223,"C10H16O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",231.1026824,"C14H16O3",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",231.1238021,"C11H20O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",233.009189,"C11H6O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",233.0303103,"C8H10O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",233.0455756,"C12H10O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",233.0667162,"C9H14O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",233.0819571,"C13H14O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",233.1030893,"C10H18O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",233.1183643,"C14H18O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",234.0408109,"C11H9O5N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",235.0248377,"C11H8O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",235.0459759,"C8H12O8",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",235.0612307,"C12H12O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",235.0724382,"C11H12O4N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",235.0976181,"C13H16O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",235.1339849,"C14H20O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",235.1703833,"C15H24O2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",236.0201183,"C10H7O6N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",236.0564876,"C11H11O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",237.0041066,"C10H6O7",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",237.0404825,"C11H10O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",237.0616241,"C8H14O8",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",237.0768748,"C12H14O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",237.1132596,"C13H18O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",237.1496402,"C14H22O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",238.0357207,"C10H9O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",238.0721053,"C11H13O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",239.0197627,"C10H8O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",239.0561456,"C11H12O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",239.0673989,"C10H12O5N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",239.092537,"C12H16O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",239.1289143,"C13H20O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",239.1652919,"C14H24O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",239.2016808,"C15H28O2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",240.0513824,"C10H11O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",240.0877663,"C11H15O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",241.0354099,"C10H10O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",241.0466314,"C9H10O6N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",241.0717879,"C11H14O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",241.0830392,"C10H14O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",241.1081611,"C12H18O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",241.1445499,"C13H22O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",241.180943,"C14H26O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",241.2173341,"C15H30O2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",242.06703,"C10H13O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",242.1761906,"C13H25O3N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",242.9613156,"C9H8O2S3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",243.0510623,"C10H12O7",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",243.0622893,"C9H12O6N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",243.0874282,"C11H16O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",243.0986888,"C10H16O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",243.1238122,"C12H20O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
