"FT_col","ID","W","Mass","formula","presence","Site","Trtmt","Material","max_reps","formulareps","include"
"FT","01","C",515.3023144,"C31H48O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",515.3386828,"C32H52O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",518.4069539,"C29H61O2N1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",519.297102,"C30H48O3S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",519.4005876,"C29H61O3S1P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",520.3002734,"C31H43O2N3S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",520.3365854,"C32H47O1N3S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",521.312775,"C30H50O3S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",525.3537859,"C30H55O3S1P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",525.4169103,"C32H62O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",527.3962326,"C31H60O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",529.31798,"C32H50O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",532.4227564,"C30H63O2N1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",533.3491757,"C32H54O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",535.2922376,"C30H48O4S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",536.3963771,"C32H59O1N1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",537.3076753,"C30H50O4S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",538.3758084,"C31H57O2N1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",539.3962645,"C32H60O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",539.4325359,"C33H64O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",543.3700201,"C34H56O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",545.3128992,"C32H50O3S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",545.3492335,"C33H54O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",545.3855245,"C34H58O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",547.3283632,"C32H52O3S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",549.3805025,"C33H58O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",549.4169982,"C34H62O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",553.448336,"C34H66O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",555.3909909,"C32H60O3S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",555.4274616,"C33H64O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",555.4639506,"C34H68O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",559.4011819,"C35H60O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",565.3754748,"C33H58O3S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",565.4482501,"C35H66O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",567.4274034,"C34H64O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",569.443102,"C34H66O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",573.4169259,"C36H62O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",575.3596581,"C34H56O3S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",583.4587152,"C35H68O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",587.4326792,"C37H64O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",589.4713224,"C32H67O5N2P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",593.4796558,"C37H70O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",619.481947,"C33H69O6N2P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",683.6203331,"C43H88O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",685.6285388,"C41H86O3N2S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",753.6623997,"C47H94O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",753.6988321,"C48H98O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",765.6987417,"C49H98O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",782.7353591,"C47H97O5N3",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",784.6743163,"C50H92O3N1P1",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",785.6695701,"C47H94O6S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",793.6957373,"C48H95O4N2P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",793.7322456,"C49H99O3N2P1",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",795.7447327,"C50H100O6",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",801.6648159,"C47H94O7S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",805.6595443,"C46H94O8S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",810.7314944,"C49H101O1N3S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",840.778475,"C51H107O1N3S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",852.8135699,"C52H107O5N3",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",863.7045421,"C48H101O6N2S1P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",879.6417445,"C50H93O6N2S1P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",879.7142481,"C49H100O12",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",881.6933543,"C48H98O13",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",881.7519881,"C57H103O4P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",893.6862989,"C50H103O6S2P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",895.7033736,"C56H96O8",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","02","C",241.2173094,"C15H30O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",253.217318,"C16H30O2",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",255.2329247,"C16H32O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",257.2121929,"C15H30O3",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",267.2329642,"C17H32O2",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",269.212188,"C16H30O3",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",269.2486058,"C17H34O2",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",271.2278476,"C16H32O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",279.2329694,"C18H32O2",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",281.2485875,"C18H34O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",283.155077,"C15H24O5",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",283.2278852,"C17H32O3",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",283.2642271,"C18H36O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",285.2070928,"C16H30O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",285.2434968,"C17H34O3",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",287.2227903,"C16H32O4",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",293.1758208,"C17H26O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",297.2435341,"C18H34O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",297.2799208,"C19H38O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",299.222819,"C17H32O4",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",299.2592017,"C18H36O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",309.1707577,"C17H26O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",309.2071608,"C18H30O4",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",309.2799485,"C20H38O2",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",311.1686928,"C17H28O3S1",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",311.1863905,"C17H28O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",311.2228263,"C18H32O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",311.2592288,"C19H36O3",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",311.2955555,"C20H40O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",313.2384604,"C18H34O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",313.2748697,"C19H38O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",315.2541306,"C18H36O4",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",323.1864151,"C18H28O5",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",323.2228231,"C19H32O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",323.2592386,"C20H36O3",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",325.1656985,"C17H26O6",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",325.1843128,"C18H30O3S1",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",325.2020801,"C18H30O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",325.2384539,"C19H34O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",325.27489,"C20H38O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",325.3112736,"C21H42O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",327.1813354,"C17H28O6",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",327.2177927,"C18H32O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",327.2541126,"C19H36O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",329.233381,"C18H34O5",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",329.2698167,"C19H38O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",330.1558952,"C15H25O7N1",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",331.2490916,"C18H36O5",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",337.238506,"C20H34O4",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",337.3113007,"C22H42O2",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",339.1813864,"C18H28O6",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",339.1999861,"C19H32O3S1",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",339.2177101,"C19H32O5",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",339.2905037,"C21H40O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",341.1970439,"C18H30O6",1,"TOOL","CON","Organic",8,7,TRUE
"FT","02","C",341.3061233,"C21H42O3",1,"TOOL","CON","Organic",8,8,TRUE
"FT","02","C",343.082361,"C18H16O7",1,"TOOL","CON","Organic",8,6,TRUE
"FT","02","C",343.2126993,"C18H32O6",1,"TOOL","CON","Organic",8,8,TRUE
