uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF
e59ee868-6958-473c-88ba-9957410c3659,HEAL_045.basePlot.all,D19,HEAL,HEAL_045,S2017AK068045,3/20/2017,18N03027,C/A'jj2,6/22/2018,S2017AK068045-5,bulk,43,80,61.5,1.034,,,4.2,0.1,1.6,0,24.5,37,5.9,24,9.3,3.4,,2.9,4.1,4.9,0.1,,0,0.6,0.1,0,0.15,0.1,158.7,0.1,0.1,0.5,0.3,0,0,0,4.9,,0.2,123.5,4.9,25,124,0.5,0.21,0.67,3.1,201.1,0.01,0.51,0.2,0.7,0,0,30.4,,5.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
5e5f8efe-c50b-48fa-a303-da8e82f48683,HEAL_018.basePlot.all,D19,HEAL,HEAL_018,S2017AK068018,3/21/2017,18N03002,Cjj,6/21/2018,S2017AK068018-3,bulk,31,60,45.5,1.035,,,5.1,0.2,1.6,0,22.5,26,6.9,31,9.3,2.4,,68.3,4.1,4.8,0.13,,,,,,,,,,,,,,,,,,,71.2,3.5,20,71,0,0.16,1.11,188.3,345.4,0.03,0.31,0.1,1.3,0,0,29.1,,1.6,,,,USDA NRCS Kellogg Soil Survey Laboratory,
bc5715a9-266f-416d-908c-cb6c1d7f0202,HEAL_026.basePlot.all,D19,HEAL,HEAL_026,S2017AK068026,3/21/2017,18N03010,Oi,6/22/2018,S2017AK068026-1,bulk,0,15,7.5,1.152,0,,10.4,2.6,6.4,0.1,89.7,21,19.5,22,24.7,5.2,,134,3.2,3.8,1.33,,,,,,,,,,,,,,,,,,,472.5,15,32,473,0,0.16,0.36,116.7,256.6,0,0.12,0.1,0.5,0,0,119.3,,51.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
188ab0cc-9940-4c17-bbf7-8206a3897203,HEAL_029.basePlot.all,D19,HEAL,HEAL_029,S2017AK068029,3/21/2017,18N03018,Oi,6/22/2018,S2017AK068029-1,bulk,0,7,3.5,1.142,0,,48.6,3.5,17.1,0.1,102.7,0,69.3,67,69.4,0.1,,265.4,,,2.39,,,,,,,,,,,,,,,,,,,422.7,19.8,21,423,0.8,0.1,0.41,1000.7,356.8,0.01,0.14,0.1,0.6,0.1,0.1,71.4,,100.9,,,,USDA NRCS Kellogg Soil Survey Laboratory,
b95a32e3-b334-4020-9e49-4b2fadc89d76,HEAL_029.basePlot.all,D19,HEAL,HEAL_029,S2017AK068029,3/21/2017,18N03022,C'2,6/22/2018,S2017AK068029-5,bulk,37,60,48.5,1.031,,,9.2,0.1,3.4,0,18,2,12.7,71,12.9,0.2,,24.2,4.9,5.7,0.09,,0,0.9,0.2,0,0.19,0,80.8,1,0,0.7,0.5,0,0.1,0,5.7,,0.2,42.2,2.6,16,42,0,0.19,1.53,648.7,388.6,0.04,0.27,0.2,2,0.1,0.1,19,,1.1,,,,USDA NRCS Kellogg Soil Survey Laboratory,
6e7c2938-9a3e-4237-a89e-da7ff31ff2bb,HEAL_029.basePlot.all,D19,HEAL,HEAL_029,S2017AK068029,3/21/2017,18N03020,C1,6/22/2018,S2017AK068029-3,bulk,14,25,19.5,1.045,,,13.3,0.3,5.6,0,31.3,1,19.2,61,19.4,0.2,,79.7,4.9,5.4,0.24,,0,1.6,0.4,0,0.34,0,138.9,1.2,0.1,1.6,0.4,0,0.6,0,5.4,,0.5,98.1,5.1,19,98,0.3,0.21,1.25,564.4,400,0.03,0.4,0.2,1.6,0.1,0.1,48.4,,2.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
4ee05a71-7bee-444a-a359-f5c3bc3d4c3c,HEAL_026.basePlot.all,D19,HEAL,HEAL_026,S2017AK068026,3/21/2017,18N03013,C/O2,6/22/2018,S2017AK068026-4,bulk,51,60,55.5,1.047,,,4.8,0.1,1.8,0.1,31.9,41,6.8,21,11.6,4.8,,20.7,4.1,5,0.18,,,,,,,,,,,,,,,,,,,102.2,5.4,19,102,0.2,0.32,1.08,34.5,392.7,0.03,0.47,0.3,1.4,0,0,48.2,,2.6,,,,USDA NRCS Kellogg Soil Survey Laboratory,
c7905299-3294-4cf4-a60b-876b75b1046a,HEAL_018.basePlot.all,D19,HEAL,HEAL_018,S2017AK068018,3/21/2017,18N03001,Oe,6/21/2018,S2017AK068018-2,bulk,7,31,19,1.123,0,,12.6,1.2,3.5,0.2,70,13,17.5,25,20.1,2.6,,432.8,,,1.01,,,,,,,,,,,,,,,,,,,374.2,17.3,22,374,0.5,0.24,2.44,514,808.7,0.02,0.97,0.3,2.7,0.1,0.1,114.4,,2.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
127a479d-5ec5-403a-bf0a-ea56be797152,HEAL_018.basePlot.all,D19,HEAL,HEAL_018,S2017AK068018,3/21/2017,18N03000,Oi,6/21/2018,S2017AK068018-1,bulk,0,7,3.5,1.151,0,,20.2,6.8,8.9,0.4,80.7,,36.3,45,,,,,,,2.28,,,,,,,,,,,,,,,,,,,504.3,14.7,34,504,0,0.03,0.12,1660.8,427.2,0,0.09,0,0.2,0.2,0.1,110.3,,260.6,,,,USDA NRCS Kellogg Soil Survey Laboratory,
8a24c3f5-a785-47da-a1b8-f5ef782dfa4a,HEAL_022.basePlot.all,D19,HEAL,HEAL_022,S2017AK068022,3/21/2017,18N03008,Bg,6/22/2018,S2017AK068022-2,bulk,22,54,38,1.022,,,5.6,0.1,3.6,0.1,11.1,3,9.4,85,9.7,0.3,,34.6,4.9,5.9,0.06,,,,,,,,,,,,,,,,,,,12.8,0.8,16,13,0,0.09,0.75,139.6,202.8,0.03,0.08,0.1,1.4,0,0.1,9,,2.4,,,,USDA NRCS Kellogg Soil Survey Laboratory,
