"Mass","formula","HC","OC"
225.999371,"C8H5O7N1",0.62,0.88
226.0357308,"C9H9O6N1",1,0.67
226.0721256,"C10H13O5N1",1.3,0.5
226.0833773,"C9H13O4N3",1.44,0.44
226.1084555,"C11H17O4N1",1.55,0.36
226.1812792,"C13H25O2N1",1.92,0.15
227.0197513,"C9H8O7",0.89,0.78
227.0309583,"C8H8O6N2",1,0.75
227.0349863,"C13H8O4",0.62,0.31
227.035138,"C6H16O1N2S3",2.67,0.17
227.038402,"C10H12O4S1",1.2,0.4
227.053646,"C14H12O1S1",0.86,0.07
227.0561288,"C10H12O6",1.2,0.6
227.0673675,"C9H12O5N2",1.33,0.56
227.069033,"C7H17O6P1",2.43,0.86
227.071399,"C14H12O3",0.86,0.21
227.0772462,"C7H16O8",2.29,1.14
227.0925114,"C11H16O5",1.45,0.45
227.1037468,"C10H16O4N2",1.6,0.4
227.1078125,"C15H16O2",1.07,0.13
227.1289103,"C12H20O4",1.67,0.33
227.1401378,"C11H20O3N2",1.82,0.27
227.1652906,"C13H24O3",1.85,0.23
227.2016582,"C14H28O2",2,0.14
227.985603,"C11H4O3N1P1",0.36,0.27
228.014947,"C8H7O7N1",0.88,0.88
228.015908,"C9H11O2N1S2",1.22,0.22
228.0513739,"C9H11O6N1",1.22,0.67
228.054738,"C6H15O6N1S1",2.5,1
228.062572,"C8H11O5N3",1.38,0.62
228.064293,"C6H16O6N1P1",2.67,1
228.0877602,"C10H15O5N1",1.5,0.5
228.098939,"C9H15O4N3",1.67,0.44
228.1241486,"C11H19O4N1",1.73,0.36
228.160462,"C12H23O3N1",1.92,0.25
228.999033,"C8H6O8",0.75,1
229.0142747,"C12H6O5",0.5,0.42
229.014483,"C5H14O2N2S3",2.8,0.4
229.0353939,"C9H10O7",1.11,0.78
229.0466241,"C8H10O6N2",1.25,0.75
229.0506476,"C13H10O4",0.77,0.31
229.054036,"C10H14O4S1",1.4,0.4
229.0717838,"C10H14O6",1.4,0.6
229.0830149,"C9H14O5N2",1.56,0.56
229.0870214,"C14H14O3",1,0.21
229.1081561,"C11H18O5",1.64,0.45
229.119437,"C10H18O4N2",1.8,0.4
229.1445498,"C12H22O4",1.83,0.33
229.1557816,"C11H22O3N2",2,0.27
229.1809658,"C13H26O3",2,0.23
230.0306505,"C8H9O7N1",1.12,0.88
230.0458975,"C12H9O4N1",0.75,0.33
230.0670339,"C9H13O6N1",1.44,0.67
230.1034031,"C10H17O5N1",1.7,0.5
230.1146488,"C9H17O4N3",1.89,0.44
230.1398219,"C11H21O4N1",1.91,0.36
230.993572,"C11H4O6",0.36,0.55
231.0146717,"C8H8O8",1,1
231.0299395,"C12H8O5",0.67,0.42
231.0411367,"C11H8O4N2",0.73,0.36
231.0510449,"C9H12O7",1.33,0.78
231.0622755,"C8H12O6N2",1.5,0.75
231.0663132,"C13H12O4",0.92,0.31
