"CoreID","Mass","formula","presence"
"GHG_03_C",457.3687497,"C30H50O3",1
"GHG_03_C",457.3898329,"C27H54O5",1
"GHG_03_C",459.3327122,"C25H48O7",1
"GHG_03_C",459.3480118,"C29H48O4",1
"GHG_03_C",459.3973936,"C27H57O3P1",1
"GHG_03_C",461.2908196,"C27H42O6",1
"GHG_03_C",461.303801,"C24H47O6P1",1
"GHG_03_C",461.349356,"C26H54O2S2",1
"GHG_03_C",462.3436478,"C24H49O7N1",1
"GHG_03_C",463.2700615,"C26H40O7",1
"GHG_03_C",463.3428015,"C28H48O5",1
"GHG_03_C",463.3558825,"C25H53O5P1",1
"GHG_03_C",465.3221523,"C27H46O6",1
"GHG_03_C",465.3351728,"C24H51O6P1",1
"GHG_03_C",465.3585304,"C28H50O5",1
"GHG_03_C",465.394863,"C29H54O4",1
"GHG_03_C",465.4312054,"C30H58O3",1
"GHG_03_C",465.4676144,"C31H62O2",1
"GHG_03_C",467.098374,"C24H20O10",1
"GHG_03_C",467.3377237,"C27H48O6",1
"GHG_03_C",467.3740605,"C28H52O5",1
"GHG_03_C",467.4104889,"C29H56O4",1
"GHG_03_C",467.4469655,"C30H60O3",1
"GHG_03_C",468.4058726,"C28H55O4N1",1
"GHG_03_C",469.3170164,"C26H46O7",1
"GHG_03_C",469.3533896,"C27H50O6",1
"GHG_03_C",469.3898653,"C28H54O5",1
"GHG_03_C",469.4051503,"C32H54O2",1
"GHG_03_C",469.4262804,"C29H58O4",1
"GHG_03_C",471.3326417,"C26H48O7",1
"GHG_03_C",471.3478502,"C30H48O4",1
"GHG_03_C",471.3690164,"C27H52O6",1
"GHG_03_C",471.4054773,"C28H56O5",1
"GHG_03_C",473.2908412,"C28H42O6",1
"GHG_03_C",473.3271672,"C29H46O5",1
"GHG_03_C",473.3493563,"C27H54O2S2",1
"GHG_03_C",473.3765767,"C27H55O4P1",1
"GHG_03_C",473.4129788,"C28H59O3P1",1
"GHG_03_C",475.306519,"C28H44O6",1
"GHG_03_C",475.3792815,"C30H52O4",1
"GHG_03_C",476.3956969,"C26H55O6N1",1
"GHG_03_C",477.2493923,"C26H38O8",1
"GHG_03_C",477.286553,"C28H46O2S2",1
"GHG_03_C",477.3714087,"C26H55O5P1",1
"GHG_03_C",479.2659968,"C27H44O3S2",1
"GHG_03_C",479.3144269,"C24H49O7P1",1
"GHG_03_C",479.4105962,"C30H56O4",1
"GHG_03_C",481.1140461,"C25H22O10",1
"GHG_03_C",481.3534561,"C28H50O6",1
"GHG_03_C",481.3898397,"C29H54O5",1
"GHG_03_C",482.1171911,"C18H31O8N1S1P2",1
"GHG_03_C",483.3327358,"C27H48O7",1
"GHG_03_C",483.3691489,"C28H52O6",1
"GHG_03_C",483.405444,"C29H56O5",1
"GHG_03_C",485.2537212,"C20H42O9N2S1",1
"GHG_03_C",485.3483363,"C27H50O7",1
"GHG_03_C",485.3764841,"C28H55O4P1",1
"GHG_03_C",485.3847266,"C28H54O6",1
"GHG_03_C",485.4000652,"C32H54O3",1
"GHG_03_C",485.421162,"C29H58O5",1
"GHG_03_C",487.3283925,"C27H52O3S2",1
"GHG_03_C",487.4011405,"C29H60O1S2",1
"GHG_03_C",488.3964001,"C28H59O1N1S2",1
"GHG_03_C",488.4319704,"C28H59O5N1",1
"GHG_03_C",489.3221542,"C29H46O6",1
"GHG_03_C",489.3585484,"C30H50O5",1
"GHG_03_C",491.3144146,"C25H49O7P1",1
"GHG_03_C",491.3385791,"C30H52O1S2",1
"GHG_03_C",492.261201,"C27H43O3N1S2",1
"GHG_03_C",492.354999,"C26H55O3N1S2",1
"GHG_03_C",493.3664164,"C26H55O6P1",1
"GHG_03_C",493.389726,"C30H54O5",1
"GHG_03_C",493.4261831,"C31H58O4",1
"GHG_03_C",493.4624955,"C32H62O3",1
"GHG_03_C",495.093229,"C25H20O11",1
"GHG_03_C",495.1297322,"C26H24O10",1
"GHG_03_C",495.3243696,"C28H49O5P1",1
"GHG_03_C",495.3326663,"C28H48O7",1
"GHG_03_C",495.360884,"C29H53O4P1",1
"GHG_03_C",495.365071,"C24H52O8N2",1
"GHG_03_C",495.4055103,"C30H56O5",1
"GHG_03_C",497.3128953,"C28H50O3S2",1
"GHG_03_C",497.3491465,"C29H54O2S2",1
"GHG_03_C",497.384755,"C29H54O6",1
"GHG_03_C",497.3999262,"C33H54O3",1
"GHG_03_C",497.4210805,"C30H58O5",1
"GHG_03_C",499.2693914,"C21H44O9N2S1",1
"GHG_03_C",499.3058087,"C22H48O8N2S1",1
"GHG_03_C",499.3639536,"C28H52O7",1
"GHG_03_C",499.400408,"C29H56O6",1
"GHG_03_C",499.4157016,"C33H56O3",1
"GHG_03_C",499.4366611,"C30H60O5",1
"GHG_03_C",501.3070564,"C26H46O9",1
"GHG_03_C",501.3229536,"C31H50O1S2",1
"GHG_03_C",501.4442774,"C30H63O3P1",1
"GHG_03_C",502.3473064,"C29H49O2N3S1",1
"GHG_03_C",503.3013013,"C29H44O7",1
"GHG_03_C",503.3377854,"C30H48O6",1
"GHG_03_C",503.3871452,"C28H57O5P1",1
"GHG_03_C",504.4269784,"C28H59O6N1",1
"GHG_03_C",505.2816603,"C29H46O3S2",1
"GHG_03_C",505.3453325,"C30H51O4P1",1
"GHG_03_C",505.3541906,"C31H54O1S2",1
"GHG_03_C",505.4027422,"C28H59O5P1",1
"GHG_03_C",505.4989615,"C34H66O2",1
"GHG_03_C",507.2600558,"C27H40O9",1
"GHG_03_C",507.3245782,"C29H49O5P1",1
"GHG_03_C",507.3326343,"C29H48O7",1
"GHG_03_C",507.365019,"C25H52O8N2",1
"GHG_03_C",507.4418383,"C32H60O4",1
"GHG_03_C",509.2765507,"C28H46O4S2",1
"GHG_03_C",509.3846153,"C30H54O6",1
"GHG_03_C",509.4209974,"C31H58O5",1
"GHG_03_C",511.3638861,"C29H52O7",1
"GHG_03_C",511.4002641,"C30H56O6",1
"GHG_03_C",512.0928455,"C35H15O4N1",1
"GHG_03_C",513.2850747,"C22H46O9N2S1",1
"GHG_03_C",513.3068549,"C27H46O9",1
"GHG_03_C",513.3796128,"C29H54O7",1
"GHG_03_C",513.4079277,"C30H59O4P1",1
"GHG_03_C",515.3023144,"C31H48O2S2",1
"GHG_03_C",515.3741063,"C32H52O5",1
"GHG_03_C",517.2816239,"C30H46O3S2",1
"GHG_03_C",517.35334,"C31H50O6",1
"GHG_03_C",517.4391742,"C30H63O4P1",1
"GHG_03_C",519.2607233,"C29H44O4S2",1
"GHG_03_C",519.297102,"C30H48O3S2",1
"GHG_03_C",519.4005876,"C29H61O3S1P1",1
"GHG_03_C",521.312775,"C30H50O3S2",1
"GHG_03_C",521.3977157,"C28H59O6P1",1
"GHG_03_C",524.4321733,"C31H59O5N1",1
"GHG_03_C",525.3068977,"C28H46O9",1
"GHG_03_C",525.4159952,"C31H58O6",1
"GHG_03_C",525.4524183,"C32H62O5",1
"GHG_03_C",525.4887728,"C33H66O4",1
"GHG_03_C",527.3376837,"C32H48O6",1
"GHG_03_C",527.3952361,"C30H56O7",1
"GHG_03_C",527.4316472,"C31H60O6",1
"GHG_03_C",529.3664859,"C29H55O6P1",1
"GHG_03_C",531.3690657,"C32H52O6",1
"GHG_03_C",533.2760701,"C21H48O9N2P2",1
"GHG_03_C",533.4340877,"C30H63O5P1",1
"GHG_03_C",534.3436524,"C30H49O7N1",1
"GHG_03_C",534.419796,"C29H61O5N1S1",1
"GHG_03_C",535.2922376,"C30H48O4S2",1
"GHG_03_C",535.3762227,"C31H56O1N2S2",1
"GHG_03_C",535.4730437,"C34H64O4",1
"GHG_03_C",535.5095501,"C35H68O3",1
"GHG_03_C",536.3963771,"C32H59O1N1S2",1
"GHG_03_C",539.3141667,"C29H49O7P1",1
"GHG_03_C",539.3596668,"C31H56O3S2",1
"GHG_03_C",539.4316016,"C32H60O6",1
"GHG_03_C",540.361063,"C33H52O3N1P1",1
"GHG_03_C",541.302624,"C29H50O5S2",1
"GHG_03_C",541.4391662,"C32H63O4P1",1
"GHG_03_C",541.4754781,"C33H67O3P1",1
"GHG_03_C",541.4835886,"C33H66O5",1
