"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
344.084345,"C11H23O7N1S2","CHONS",2.09,0.64,-1.2222,-0.1818,11,23,7,1,2,0,"aliphatic"
344.092228,"C13H19O6N3S1","CHONS",1.46,0.46,-0.1667,0.3077,13,19,6,3,1,0,"unsaturated/lignin"
344.223123,"C21H31O3N1","CHON",1.48,0.14,0.2432,-1.0476,21,31,3,1,0,0,"unsaturated/lignin"
345.0616464,"C17H14O8","CHO",0.82,0.47,0.5385,0.1176,17,14,8,0,0,0,"aromatic"
345.061884,"C17H14O8","CHO",0.82,0.47,0.5385,0.1176,17,14,8,0,0,0,"aromatic"
345.0768879,"C21H14O5","CHO",0.67,0.24,0.6757,-0.1905,21,14,5,0,0,0,"condensed aromatic"
345.0771277,"C14H22O2N2S3","CHONS",1.57,0.14,-0.125,-0.4286,14,22,2,2,3,0,"aliphatic"
345.0889788,"C10H23O7N2S1P1","CHONSP",2.3,0.7,-2.6,-0.1,10,23,7,2,1,1,"aliphatic"
345.0979623,"C18H18O7","CHO",1,0.39,0.4483,-0.2222,18,18,7,0,0,0,"unsaturated/lignin"
345.13436,"C19H22O6","CHO",1.16,0.32,0.375,-0.5263,19,22,6,0,0,0,"unsaturated/lignin"
345.147285,"C16H27O6P1","CHOP",1.69,0.38,0,-0.9375,16,27,6,0,0,1,"aliphatic"
345.155562,"C16H26O8","CHO",1.62,0.5,0,-0.625,16,26,8,0,0,0,"aliphatic"
345.156336,"C17H30O3S2","CHOS",1.76,0.18,-0.037,-1.1765,17,30,3,0,2,0,"aliphatic"
345.1707726,"C20H26O5","CHO",1.3,0.25,0.3143,-0.8,20,26,5,0,0,0,"unsaturated/lignin"
345.1918824,"C17H30O7","CHO",1.76,0.41,-0.037,-0.9412,17,30,7,0,0,0,"aliphatic"
345.2283212,"C18H34O6","CHO",1.89,0.33,-0.0667,-1.2222,18,34,6,0,0,0,"aliphatic"
345.2434585,"C22H34O3","CHO",1.55,0.14,0.2195,-1.2727,22,34,3,0,0,0,"aliphatic"
345.2469326,"C19H38O3S1","CHOS",2,0.16,-0.0909,-1.5789,19,38,3,0,1,0,"aliphatic"
345.2645863,"C19H38O5","CHO",2,0.26,-0.0909,-1.4737,19,38,5,0,0,0,"aliphatic"
346.07227,"C13H21O2N3S3","CHONS",1.62,0.15,-0.3333,-0.1538,13,21,2,3,3,0,"aliphatic"
346.1871937,"C16H29O7N1","CHON",1.81,0.44,-0.1304,-0.75,16,29,7,1,0,0,"aliphatic"
346.910864,"C9H4O7N2S3","CHONS",0.44,0.78,1,2.4444,9,4,7,2,3,0,"condensed aromatic"
346.936409,"C10H6O10P2","CHOP",0.6,1,0.6667,1.4,10,6,10,0,0,2,"condensed aromatic"
347.0408444,"C16H12O9","CHO",0.75,0.56,0.5652,0.375,16,12,9,0,0,0,"aromatic"
347.075813,"C11H25O6S2P1","CHOSP",2.27,0.55,-1.2,-0.8182,11,25,6,0,2,1,"aliphatic"
