"V1","V2"
12.62,773
12.63,779
12.64,763
12.65,777
12.66,759
12.67,815
12.68,797
12.69,780
12.7,772
12.71,795
12.72,797
12.73,797
12.74,786
12.75,812
12.76,812
12.77,764
12.78,763
12.79,773
12.8,787
12.81,820
12.82,747
12.83,780
12.84,812
12.85,757
12.86,750
12.87,762
12.88,790
12.89,765
12.9,754
12.91,734
12.92,785
12.93,818
12.94,779
12.95,753
12.96,766
12.97,772
12.98,842
12.99,809
13,790
13.01,779
13.02,809
13.03,796
13.04,740
13.05,782
13.06,789
13.07,782
13.08,810
13.09,784
13.1,800
13.11,797
13.12,816
13.13,785
13.14,760
13.15,783
13.16,810
13.17,804
13.18,741
13.19,758
13.2,781
13.21,795
13.22,753
13.23,769
13.24,817
13.25,766
13.26,765
13.27,769
13.28,810
13.29,781
13.3,799
13.31,770
13.32,823
13.33,754
13.34,765
13.35,812
13.36,822
13.37,771
13.38,847
13.39,808
13.4,799
13.41,789
13.42,798
13.43,791
13.44,817
13.45,750
13.46,779
13.47,785
13.48,790
13.49,760
13.5,748
13.51,780
13.52,801
13.53,834
13.54,786
13.55,770
13.56,796
13.57,783
13.58,797
13.59,800
13.6,826
13.61,844
13.62,801
13.63,747
13.64,810
13.65,797
13.66,818
13.67,800
13.68,852
13.69,805
13.7,779
13.71,771
13.72,784
13.73,778
13.74,820
13.75,843
13.76,826
13.77,787
13.78,836
13.79,830
13.8,833
13.81,840
13.82,877
13.83,906
13.84,875
13.85,808
13.86,812
13.87,855
13.88,831
13.89,825
13.9,730
13.91,868
13.92,835
13.93,812
13.94,827
13.95,807
13.96,818
13.97,830
13.98,826
13.99,797
14,847
14.01,849
14.02,817
14.03,818
14.04,759
14.05,746
14.06,811
14.07,779
14.08,794
14.09,785
14.1,805
14.11,804
14.12,805
14.13,761
14.14,785
14.15,814
14.16,811
14.17,802
14.18,786
14.19,817
14.2,751
14.21,775
14.22,767
14.23,791
14.24,853
14.25,796
14.26,838
14.27,793
14.28,792
14.29,779
14.3,816
14.31,777
14.32,811
14.33,824
14.34,819
14.35,833
14.36,834
14.37,782
14.38,775
14.39,804
14.4,788
14.41,832
14.42,809
14.43,772
14.44,829
14.45,830
14.46,791
14.47,778
14.48,822
14.49,834
14.5,832
14.51,799
14.52,775
14.53,783
14.54,807
14.55,789
14.56,763
14.57,801
14.58,799
14.59,817
14.6,822
14.61,847
14.62,842
14.63,782
14.64,853
14.65,823
14.66,800
14.67,833
14.68,840
14.69,808
14.7,860
14.71,804
14.72,818
14.73,787
14.74,807
14.75,799
14.76,823
14.77,813
14.78,748
14.79,820
14.8,814
14.81,782
14.82,828
14.83,795
14.84,779
14.85,790
14.86,872
14.87,803
14.88,810
14.89,836
14.9,787
14.91,792
14.92,836
14.93,849
14.94,831
14.95,790
14.96,843
14.97,870
14.98,799
14.99,818
15,825
15.01,885
15.02,843
15.03,819
15.04,837
15.05,901
15.06,863
15.07,857
15.08,867
15.09,831
15.1,863
15.11,817
15.12,759
15.13,799
15.14,839
15.15,818
15.16,821
15.17,833
15.18,822
15.19,800
15.2,837
15.21,786
15.22,845
15.23,877
15.24,868
15.25,838
15.26,823
15.27,780
15.28,793
15.29,853
15.3,812
15.31,852
15.32,798
15.33,825
15.34,806
15.35,860
15.36,836
15.37,815
15.38,806
15.39,819
15.4,839
15.41,818
15.42,842
15.43,881
15.44,828
15.45,823
15.46,828
15.47,807
15.48,829
15.49,854
15.5,805
15.51,782
15.52,839
15.53,876
15.54,857
15.55,858
