"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core"
"43","TOOL_501_001","TOOL","001","501",-0.02,"Keep",0,"summer2","2","TOOL","501","001"
"44","TOOL_502_001","TOOL","001","502",-0.06,"Keep",0,"summer2","2","TOOL","502","001"
"45","TOOL_503_001","TOOL","001","503",-0.16,"Keep",0,"summer2","2","TOOL","503","001"
"46","TOOL_501_002","TOOL","002","501",-0.02,"Exclude",NA,"summer2","2","TOOL","501","002"
"47","TOOL_502_002","TOOL","002","502",-0.06,"Exclude",NA,"summer2","2","TOOL","502","002"
"48","TOOL_503_002","TOOL","002","503",-0.16,"Exclude",NA,"summer2","2","TOOL","503","002"
"49","TOOL_504_002","TOOL","002","504",-0.26,"Exclude",NA,"summer2","2","TOOL","504","002"
"50","TOOL_505_002","TOOL","002","505",-0.36,"Exclude",NA,"summer2","2","TOOL","505","002"
"51","TOOL_506_002","TOOL","002","506",-0.46,"Exclude",NA,"summer2","2","TOOL","506","002"
"52","TOOL_507_002","TOOL","002","507",-0.56,"Keep",0,"summer2","2","TOOL","507","002"
"53","TOOL_501_003","TOOL","003","501",-0.02,"Keep",0,"summer2","2","TOOL","501","003"
"54","TOOL_502_003","TOOL","003","502",-0.06,"Keep",0,"summer2","2","TOOL","502","003"
"55","TOOL_503_003","TOOL","003","503",-0.16,"Keep",0,"summer2","2","TOOL","503","003"
"56","TOOL_504_003","TOOL","003","504",-0.26,"Exclude",NA,"summer2","2","TOOL","504","003"
"57","TOOL_505_003","TOOL","003","505",-0.36,"Keep",0,"summer2","2","TOOL","505","003"
"58","TOOL_506_003","TOOL","003","506",-0.46,"Keep",0,"summer2","2","TOOL","506","003"
"59","TOOL_507_003","TOOL","003","507",-0.56,"Keep",0,"summer2","2","TOOL","507","003"
"60","TOOL_501_004","TOOL","004","501",-0.02,"Keep",0,"summer2","2","TOOL","501","004"
"61","TOOL_502_004","TOOL","004","502",-0.06,"Exclude",NA,"summer2","2","TOOL","502","004"
"62","TOOL_503_004","TOOL","004","503",-0.16,"Keep",0,"summer2","2","TOOL","503","004"
"63","TOOL_504_004","TOOL","004","504",-0.26,"Keep",0,"summer2","2","TOOL","504","004"
"64","TOOL_505_004","TOOL","004","505",-0.36,"Keep",0,"summer2","2","TOOL","505","004"
"65","TOOL_506_004","TOOL","004","506",-0.46,"Keep",0,"summer2","2","TOOL","506","004"
"66","TOOL_507_004","TOOL","004","507",-0.56,"Exclude",NA,"summer2","2","TOOL","507","004"
"67","TOOL_501_005","TOOL","005","501",-0.02,"Keep",0,"summer2","2","TOOL","501","005"
"68","TOOL_502_005","TOOL","005","502",-0.06,"Keep",0,"summer2","2","TOOL","502","005"
"69","BONA_501_001","BONA","001","501",-0.02,"Keep",4,"summer2","2","BONA","501","001"
"70","BONA_502_001","BONA","001","502",-0.06,"Keep",4,"summer2","2","BONA","502","001"
"71","BONA_503_001","BONA","001","503",-0.16,"Keep",0,"summer2","2","BONA","503","001"
"72","BONA_504_001","BONA","001","504",-0.26,"Keep",0,"summer2","2","BONA","504","001"
"73","BONA_505_001","BONA","001","505",-0.46,"Keep",0,"summer2","2","BONA","505","001"
"74","BONA_506_001","BONA","001","506",-0.76,"Keep",0,"summer2","2","BONA","506","001"
"75","BONA_507_001","BONA","001","507",-1.06,"Keep",0,"summer2","2","BONA","507","001"
