"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core","mag.vec","dur.vec"
"1457","BONA_504_003","BONA",3,504,-0.26,"Keep",0,"winter",1,"BONA",504,3,"1.5","4"
"1458","BONA_505_003","BONA",3,505,-0.46,"Keep",0,"winter",1,"BONA",505,3,"1.5","4"
"1459","BONA_506_003","BONA",3,506,-0.76,"Keep",0,"winter",1,"BONA",506,3,"1.5","4"
"1460","BONA_507_003","BONA",3,507,-1.06,"Keep",0,"winter",1,"BONA",507,3,"1.5","4"
"1461","BONA_508_003","BONA",3,508,-1.56,"Keep",0,"winter",1,"BONA",508,3,"1.5","4"
"1462","BONA_509_003","BONA",3,509,-1.86,"Keep",0,"winter",1,"BONA",509,3,"1.5","4"
"1463","BONA_501_004","BONA",4,501,-0.02,"Keep",0,"winter",1,"BONA",501,4,"1.5","4"
"1464","BONA_502_004","BONA",4,502,-0.06,"Keep",0,"winter",1,"BONA",502,4,"1.5","4"
"1465","BONA_503_004","BONA",4,503,-0.16,"Keep",0,"winter",1,"BONA",503,4,"1.5","4"
"1466","BONA_504_004","BONA",4,504,-0.26,"Keep",0,"winter",1,"BONA",504,4,"1.5","4"
"1467","BONA_505_004","BONA",4,505,-0.46,"Keep",0,"winter",1,"BONA",505,4,"1.5","4"
"1468","BONA_506_004","BONA",4,506,-0.76,"Keep",0,"winter",1,"BONA",506,4,"1.5","4"
"1469","BONA_507_004","BONA",4,507,-1.06,"Keep",0,"winter",1,"BONA",507,4,"1.5","4"
"1470","BONA_508_004","BONA",4,508,-1.56,"Keep",0,"winter",1,"BONA",508,4,"1.5","4"
"1471","BONA_509_004","BONA",4,509,-1.96,"Keep",0,"winter",1,"BONA",509,4,"1.5","4"
"1472","BONA_501_005","BONA",5,501,-0.03,"Keep",0,"winter",1,"BONA",501,5,"1.5","4"
"1473","BONA_502_005","BONA",5,502,-0.07,"Keep",0,"winter",1,"BONA",502,5,"1.5","4"
"1474","BONA_503_005","BONA",5,503,-0.17,"Keep",0,"winter",1,"BONA",503,5,"1.5","4"
"1475","BONA_504_005","BONA",5,504,-0.27,"Keep",0,"winter",1,"BONA",504,5,"1.5","4"
"1476","BONA_505_005","BONA",5,505,-0.47,"Keep",0,"winter",1,"BONA",505,5,"1.5","4"
"1477","BONA_506_005","BONA",5,506,-0.77,"Keep",0,"winter",1,"BONA",506,5,"1.5","4"
"1478","BONA_507_005","BONA",5,507,-1.07,"Keep",0,"winter",1,"BONA",507,5,"1.5","4"
"1479","BONA_508_005","BONA",5,508,-1.57,"Keep",0,"winter",1,"BONA",508,5,"1.5","4"
"1480","BONA_509_005","BONA",5,509,-2.07,"Keep",0,"winter",1,"BONA",509,5,"1.5","4"
"1481","HEAL_501_001","HEAL",1,501,-0.03,"Exclude",NA,"winter",1,"HEAL",501,1,"1.5","4"
"1482","HEAL_502_001","HEAL",1,502,-0.07,"Keep",0,"winter",1,"HEAL",502,1,"1.5","4"
"1483","HEAL_503_001","HEAL",1,503,-0.17,"Keep",0,"winter",1,"HEAL",503,1,"1.5","4"
"1484","HEAL_504_001","HEAL",1,504,-0.27,"Keep",1,"winter",1,"HEAL",504,1,"1.5","4"
"1485","HEAL_505_001","HEAL",1,505,-0.37,"Keep",0,"winter",1,"HEAL",505,1,"1.5","4"
"1486","HEAL_506_001","HEAL",1,506,-0.47,"Keep",0,"winter",1,"HEAL",506,1,"1.5","4"
"1487","HEAL_507_001","HEAL",1,507,-0.67,"Keep",0,"winter",1,"HEAL",507,1,"1.5","4"
"1488","HEAL_508_001","HEAL",1,508,-0.97,"Keep",0,"winter",1,"HEAL",508,1,"1.5","4"
"1489","HEAL_509_001","HEAL",1,509,-1.57,"Keep",0,"winter",1,"HEAL",509,1,"1.5","4"
"1490","HEAL_501_002","HEAL",2,501,-0.02,"Keep",0,"winter",1,"HEAL",501,2,"1.5","4"
"1491","HEAL_502_002","HEAL",2,502,-0.06,"Exclude",NA,"winter",1,"HEAL",502,2,"1.5","4"
"1492","HEAL_503_002","HEAL",2,503,-0.16,"Keep",0,"winter",1,"HEAL",503,2,"1.5","4"
"1493","HEAL_504_002","HEAL",2,504,-0.26,"Keep",0,"winter",1,"HEAL",504,2,"1.5","4"
"1494","HEAL_505_002","HEAL",2,505,-0.36,"Exclude",NA,"winter",1,"HEAL",505,2,"1.5","4"
"1495","HEAL_506_002","HEAL",2,506,-0.46,"Keep",0,"winter",1,"HEAL",506,2,"1.5","4"
"1496","HEAL_507_002","HEAL",2,507,-0.66,"Keep",0,"winter",1,"HEAL",507,2,"1.5","4"
"1497","HEAL_508_002","HEAL",2,508,-0.96,"Keep",0,"winter",1,"HEAL",508,2,"1.5","4"
"1498","HEAL_509_002","HEAL",2,509,-1.36,"Keep",0,"winter",1,"HEAL",509,2,"1.5","4"
"1499","HEAL_501_003","HEAL",3,501,-0.02,"Keep",1,"winter",1,"HEAL",501,3,"1.5","4"
"1500","HEAL_502_003","HEAL",3,502,-0.06,"Keep",1,"winter",1,"HEAL",502,3,"1.5","4"
"1501","HEAL_503_003","HEAL",3,503,-0.16,"Keep",1,"winter",1,"HEAL",503,3,"1.5","4"
"1502","HEAL_504_003","HEAL",3,504,-0.26,"Keep",0,"winter",1,"HEAL",504,3,"1.5","4"
"1503","HEAL_505_003","HEAL",3,505,-0.36,"Keep",0,"winter",1,"HEAL",505,3,"1.5","4"
